method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
CNN+LSTM,Knot,1,0.75454545,0.6210191,0.6213592,0.67654324,0.6160714,0.75454545,0.32165605,0.5315534,0.6888889,0.5952381,0.65790766,0.57837635
CNN+LSTM,Needle,1,0.5762376,0.46370968,0.5669935,0.5221239,0.6902439,0.051485147,0.2641129,0.35457516,0.5221239,0.5682927,0.5638617,0.35211796
CNN+LSTM,Suture,1,0.8085308,0.7280405,0.701897,0.6363636,0.68728524,0.8293839,0.6706081,0.6897019,0.670088,0.5687285,0.71242344,0.6857021
CNN+LSTM,Knot,2,0.77272725,0.61464965,0.70388347,0.6641975,0.6875,0.6878788,0.30254778,0.53640777,0.67160493,0.6041667,0.6885916,0.5605212
CNN+LSTM,Needle,2,0.6118812,0.6028226,0.48856208,0.539823,0.6073171,0.3188119,0.31653225,0.43954247,0.47964603,0.51463413,0.5700812,0.41383335
CNN+LSTM,Suture,2,0.7867299,0.7027027,0.701897,0.68475074,0.580756,0.7402844,0.7533784,0.697832,0.57478005,0.3969072,0.69136727,0.6326364
CNN+LSTM,Knot,3,0.74545455,0.5923567,0.5970874,0.67654324,0.6160714,0.6818182,0.27388534,0.63349515,0.6271605,0.6041667,0.6455026,0.56410515
CNN+LSTM,Needle,3,0.5346535,0.56653225,0.5669935,0.48672566,0.6512195,0.0970297,0.23991935,0.4232026,0.39823008,0.49756098,0.5612249,0.33118856
CNN+LSTM,Suture,3,0.8265403,0.7618243,0.701897,0.64076245,0.66838485,0.7990521,0.6064189,0.5731707,0.51906157,0.3969072,0.7198818,0.5789221
CNN+LSTM,Knot,4,0.6909091,0.65286624,0.69902915,0.69876546,0.73214287,0.7030303,0.5063694,0.47815534,0.43703705,0.6994048,0.69474256,0.56479937
CNN+LSTM,Needle,4,0.67722774,0.4717742,0.5882353,0.4761062,0.6317073,0.5841584,0.35080644,0.14215687,0.4477876,0.52682924,0.56901014,0.41034773
