method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
CNN+LSTM,Knot,1,0.7615894,0.7152778,0.58549225,0.7027027,0.6993464,0.65562916,0.4722222,0.5751295,0.7297297,0.6993464,0.6928817,0.6264114
CNN+LSTM,Suture,1,0.80492425,0.7171717,0.7601078,0.6988304,0.65068495,0.85795456,0.75084174,0.70080864,0.44152048,0.46575344,0.7263438,0.64337575
CNN+LSTM,Knot,2,0.8013245,0.4861111,0.58549225,0.67027026,0.7647059,0.66225165,0.39583334,0.4611399,0.61621624,0.84313726,0.6615808,0.59571564
CNN+LSTM,Suture,2,0.7405303,0.7138047,0.70080864,0.6812866,0.5376712,0.5776515,0.72053874,0.52021563,0.6520468,0.5,0.6748203,0.5940905
CNN+LSTM,Knot,3,0.7284768,0.6319444,0.59067357,0.7297297,0.6405229,0.7218543,0.43055555,0.41968912,0.47567567,0.7058824,0.6642695,0.5507314
CNN+LSTM,Suture,3,0.76325756,0.61279464,0.7304582,0.67836255,0.7123288,0.58522725,0.57239056,0.55525607,0.5555556,0.4760274,0.69944036,0.54889137
CNN+LSTM,Knot,4,0.7350993,0.6527778,0.7564767,0.74054056,0.73202616,0.7218543,0.5208333,0.626943,0.8108108,0.7124183,0.7233841,0.67857194
CNN+LSTM,Suture,4,0.8011364,0.6329966,0.73854446,0.73391813,0.6815069,0.75757575,0.56565654,0.58221024,0.42105263,0.33904108,0.7176205,0.5331073
CNN+LSTM,Knot,5,0.7682119,0.6458333,0.6165803,0.7135135,0.7058824,0.6225166,0.2013889,0.5388601,0.6594595,0.7908497,0.6900043,0.5626149
CNN+LSTM,Suture,5,0.8181818,0.7138047,0.703504,0.73976606,0.6609589,0.7443182,0.7710438,0.6334232,0.5292398,0.34931508,0.7272431,0.605468
LSTM,Knot,1,0.7350993,0.6458333,0.58549225,0.7567568,0.7647059,0.6423841,0.4375,0.4611399,0.6594595,0.63398695,0.69757754,0.56689405
LSTM,Needle,1,0.7688172,0.73195875,0.68774706,0.5461847,0.7368421,0.44623655,0.6546392,0.41897234,0.53815264,0.73099416,0.69430995,0.557799
LSTM,Suture,1,0.7916667,0.68350166,0.70080864,0.66374266,0.66780823,0.71022725,0.54208755,0.49595687,0.6812866,0.37328768,0.7015056,0.56056917
LSTM,Knot,2,0.7218543,0.5555556,0.65284973,0.73513514,0.78431374,0.69536424,0.38194445,0.6476684,0.75135136,0.5620915,0.6899417,0.60768396
LSTM,Needle,2,0.76344085,0.69072163,0.68774706,0.56626505,0.80701756,0.6935484,0.57731956,0.6403162,0.40562248,0.75438595,0.70303845,0.6142385
LSTM,Suture,2,0.844697,0.7138047,0.70080864,0.7368421,0.66780823,0.78977275,0.7104377,0.68733156,0.4619883,0.6643836,0.73279214,0.6627828
LSTM,Knot,3,0.7284768,0.4375,0.78238344,0.6594595,0.66013074,0.65562916,0.4027778,0.59067357,0.7027027,0.36601308,0.6535901,0.54355925
LSTM,Needle,3,0.7903226,0.73195875,0.68774706,0.51004016,0.7017544,0.6344086,0.41237113,0.43083003,0.27710843,0.47953215,0.68436456,0.44685006
LSTM,Suture,3,0.8314394,0.7171717,0.7088949,0.7163743,0.49657536,0.8011364,0.6296296,0.6981132,0.4005848,0.48972604,0.69409114,0.603838
LSTM,Knot,4,0.86092716,0.5208333,0.77720207,0.7135135,0.7647059,0.8410596,0.44444445,0.73056996,0.39459458,0.7385621,0.72743636,0.62984616
LSTM,Needle,4,0.7580645,0.7525773,0.59683794,0.5421687,0.76608187,0.7903226,0.57731956,0.541502,0.37751004,0.68421054,0.68314606,0.59417295
LSTM,Suture,4,0.7348485,0.74747473,0.70080864,0.6374269,0.5856164,0.5890151,0.61279464,0.58760107,0.6111111,0.28767124,0.681235,0.53763866
LSTM,Knot,5,0.6821192,0.6666667,0.58549225,0.76216215,0.73202616,0.70198673,0.4513889,0.44041452,0.83243245,0.8235294,0.68569326,0.6499504
LSTM,Needle,5,0.76344085,0.7474227,0.68774706,0.5421687,0.67836255,0.5430108,0.6185567,0.5335968,0.43373495,0.41520467,0.68382835,0.5088208
LSTM,Suture,5,0.7916667,0.73400676,0.7088949,0.751462,0.66780823,0.7443182,0.6902357,0.45822102,0.5847953,0.40753424,0.7307677,0.5770209
DCT,Knot,3,0.0,0.0,0.0,0.0,0.0,0.7284768,0.6458333,0.46632123,0.55135137,0.5555556,0.0,0.58950764
DCT,Needle,3,0.0,0.0,0.0,0.0,0.0,0.23655914,0.5412371,0.4229249,0.3815261,0.46783626,0.0,0.41001672
DCT,Suture,3,0.0,0.0,0.0,0.0,0.0,0.4905303,0.43097642,0.5336927,0.7134503,0.28767124,0.0,0.4912642
DCT,Knot,4,0.0,0.0,0.0,0.0,0.0,0.7284768,0.6458333,0.46632123,0.55135137,0.5555556,0.0,0.58950764
DCT,Needle,4,0.0,0.0,0.0,0.0,0.0,0.23655914,0.5412371,0.4229249,0.3815261,0.46783626,0.0,0.41001672
DCT,Suture,4,0.0,0.0,0.0,0.0,0.0,0.4905303,0.43097642,0.5336927,0.7134503,0.28767124,0.0,0.4912642
