method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
LSTM,Suture,2,0.793456,0.69201523,0.7751479,0.7119741,0.7471698,0.793456,0.69201523,0.74852073,0.7119741,0.7471698,0.74395263,0.7386272
LSTM,Knot,3,0.69503546,0.79545456,0.74025977,0.778481,0.72794116,0.69503546,0.719697,0.74025977,0.84810126,0.6397059,0.7474344,0.72855985
LSTM,Needle,3,0.475,0.7346939,0.5318182,0.59210527,0.6744186,0.475,0.4744898,0.5318182,0.6052632,0.6744186,0.6016072,0.55219793
LSTM,Suture,3,0.8179959,0.69201523,0.7751479,0.7119741,0.7471698,0.8179959,0.69201523,0.74852073,0.7119741,0.7471698,0.7488606,0.74353516
LSTM,Knot,4,0.69503546,0.8333333,0.75974023,0.778481,0.7867647,0.69503546,0.84090906,0.78571427,0.778481,0.7867647,0.77067095,0.7773809
LSTM,Needle,4,0.6,0.67346936,0.5409091,0.61403507,0.60465115,0.5875,0.3469388,0.5318182,0.6052632,0.53488374,0.6066129,0.52128077
LSTM,Suture,4,0.793456,0.69201523,0.7751479,0.7119741,0.7471698,0.6298568,0.66539925,0.7751479,0.7119741,0.7471698,0.74395263,0.7059096
LSTM,Knot,5,0.69503546,0.719697,0.77272725,0.7848101,0.72794116,0.7446808,0.719697,0.77272725,0.778481,0.7794118,0.7400422,0.7589996
LSTM,Needle,5,0.7875,0.7346939,0.53636366,0.6184211,0.5523256,0.7,0.28061223,0.4409091,0.6052632,0.5523256,0.64586085,0.515822
LSTM,Suture,5,0.793456,0.69201523,0.7751479,0.7119741,0.7471698,0.793456,0.69201523,0.7751479,0.70873785,0.7471698,0.74395263,0.7433054
convAuto,Knot,1,0.0,0.0,0.0,0.0,0.0,0.6666667,0.6212121,0.5974026,0.6962025,0.8602941,0.0,0.6883556
convAuto,Needle,1,0.0,0.0,0.0,0.0,0.0,0.5125,0.5561224,0.46363637,0.84210527,0.3372093,0.0,0.54231465
convAuto,Suture,1,0.0,0.0,0.0,0.0,0.0,0.7586912,0.5475285,0.75147927,0.6828479,0.6490566,0.0,0.6779207
convAuto,Knot,2,0.0,0.0,0.0,0.0,0.0,0.5460993,0.6818182,0.6038961,0.8607595,0.7941176,0.0,0.69733816
convAuto,Needle,2,0.0,0.0,0.0,0.0,0.0,0.7125,0.68367344,0.74545455,0.6447368,0.56395346,0.0,0.6700637
convAuto,Suture,2,0.0,0.0,0.0,0.0,0.0,0.7341513,0.7148289,0.6035503,0.5760518,0.6301887,0.0,0.6517542
convAuto,Knot,3,0.0,0.0,0.0,0.0,0.0,0.5319149,0.68939394,0.6883117,0.8607595,0.7132353,0.0,0.69672304
convAuto,Needle,3,0.0,0.0,0.0,0.0,0.0,0.85,0.75,0.57272726,0.6754386,0.7209302,0.0,0.7138192
convAuto,Suture,3,0.0,0.0,0.0,0.0,0.0,0.5746421,0.6806084,0.87278104,0.5436893,0.53962266,0.0,0.6422687
convAuto,Knot,4,0.0,0.0,0.0,0.0,0.0,0.79432625,0.4318182,0.5779221,0.8101266,0.75735295,0.0,0.6743092
convAuto,Needle,4,0.0,0.0,0.0,0.0,0.0,0.425,0.9030612,0.47272727,0.61403507,0.45348838,0.0,0.5736624
convAuto,Suture,4,0.0,0.0,0.0,0.0,0.0,0.7770961,0.56273764,0.5502958,0.7313916,0.68301886,0.0,0.66090804
convAuto,Knot,5,0.0,0.0,0.0,0.0,0.0,0.4822695,0.530303,0.64935064,0.835443,0.7352941,0.0,0.64653206
convAuto,Needle,5,0.0,0.0,0.0,0.0,0.0,0.71875,0.7346939,0.6727273,0.59210527,0.68604654,0.0,0.6808646
convAuto,Suture,5,0.0,0.0,0.0,0.0,0.0,0.8302658,0.6159696,0.7366864,0.5825243,0.709434,0.0,0.69497603
DFT,Knot,3,0.0,0.0,0.0,0.0,0.0,0.6312057,0.68939394,0.6233766,0.5822785,0.61764705,0.0,0.62878036
DFT,Needle,3,0.0,0.0,0.0,0.0,0.0,0.6875,0.41836736,0.48181817,0.6096491,0.5232558,0.0,0.5441181
DFT,Suture,3,0.0,0.0,0.0,0.0,0.0,0.56850713,0.6539924,0.7307692,0.6343042,0.30943397,0.0,0.5794014
DCT,Knot,3,0.0,0.0,0.0,0.0,0.0,0.6879433,0.74242425,0.58441556,0.73417723,0.7867647,0.0,0.707145
DCT,Needle,3,0.0,0.0,0.0,0.0,0.0,0.425,0.5714286,0.5318182,0.37280703,0.54651165,0.0,0.48951307
DCT,Suture,3,0.0,0.0,0.0,0.0,0.0,0.59100205,0.56273764,0.5502958,0.7540453,0.27169812,0.0,0.5459558
DCT,Knot,4,0.0,0.0,0.0,0.0,0.0,0.6879433,0.74242425,0.58441556,0.73417723,0.7867647,0.0,0.707145
DCT,Needle,4,0.0,0.0,0.0,0.0,0.0,0.425,0.5714286,0.5318182,0.37280703,0.54651165,0.0,0.48951307
DCT,Suture,4,0.0,0.0,0.0,0.0,0.0,0.59100205,0.56273764,0.5502958,0.7540453,0.27169812,0.0,0.5459558
