method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
ResNet,Knot,1,0.8439716,0.6212121,0.7467533,0.8924051,0.7794118,0.65957445,0.4469697,0.45454547,0.93037975,0.6544118,0.77675074,0.6291762
ResNet,Needle,1,0.75625,0.7653061,0.8090909,0.7763158,0.877907,0.43125,0.5,0.6272727,0.8377193,0.5523256,0.79697394,0.5897135
ResNet,Suture,1,0.89366055,0.84410644,0.7751479,0.7119741,0.76226413,0.86503065,0.7794677,0.53846157,0.66019416,0.54339623,0.79743063,0.67731005
ResNet,Knot,2,0.9574468,0.6136364,0.77922076,0.87341774,0.7205882,0.78723407,0.47727272,0.73376626,0.9177215,0.5441176,0.788862,0.69202244
ResNet,Needle,2,0.75625,0.81122446,0.81363636,0.65789473,0.872093,0.59375,0.71938777,0.6090909,0.5614035,0.54651165,0.7822197,0.60602874
ResNet,Suture,2,0.90797544,0.8326996,0.7366864,0.6634304,0.7471698,0.87116563,0.82129276,0.52366865,0.23300971,0.554717,0.77759236,0.6007708
ResNet,Knot,3,0.7234042,0.54545456,0.83116883,0.8924051,0.8014706,0.7234042,0.45454547,0.7012987,0.8670886,0.7205882,0.75878066,0.69338506
ResNet,Needle,3,0.86875,0.77040815,0.8,0.622807,0.85465115,0.59375,0.5255102,0.77272725,0.55263156,0.56395346,0.7833233,0.6017145
ResNet,Suture,3,0.90797544,0.78707224,0.66568047,0.79935277,0.7471698,0.86503065,0.8326996,0.62721896,0.51132685,0.33962265,0.78145015,0.63517976
ResNet,Knot,4,0.87234044,0.719697,0.7467533,0.9050633,0.72794116,0.71631205,0.5,0.5974026,0.89873415,0.44117647,0.794359,0.6307251
ResNet,Needle,4,0.75625,0.77040815,0.8,0.6052632,0.75581396,0.4875,0.5408163,0.7,0.47807017,0.5523256,0.73754704,0.55174243
ResNet,Suture,4,0.8834356,0.8365019,0.8136095,0.7119741,0.754717,0.7137014,0.7490494,0.56213015,0.23300971,0.4528302,0.80004764,0.5421442
ResNet,Knot,5,0.8794326,0.719697,0.8051948,0.9050633,0.86764705,0.78723407,0.45454547,0.72727275,0.9113924,0.8014706,0.83540696,0.736383
ResNet,Needle,5,0.8,0.7908163,0.8,0.67105263,0.8604651,0.76875,0.78061223,0.6045455,0.46929824,0.5697674,0.7844668,0.6385947
ResNet,Suture,5,0.8977505,0.76425856,0.7751479,0.79611653,0.7811321,0.91206545,0.7072243,0.5591716,0.54692554,0.2792453,0.8028811,0.60092646
CNN,Knot,1,0.79432625,0.6136364,0.75974023,0.89873415,0.72794116,0.75177306,0.5530303,0.5194805,0.9113924,0.5808824,0.75887567,0.6633117
CNN,Needle,1,0.75625,0.8010204,0.8,0.6622807,0.8488372,0.43125,0.81632656,0.65909094,0.65789473,0.5755814,0.77367765,0.6280287
CNN,Suture,1,0.8548057,0.8174905,0.6804734,0.6893204,0.7245283,0.9468303,0.73003805,0.70118344,0.38511327,0.46037737,0.7533237,0.64470845
CNN,Knot,2,0.79432625,0.70454544,0.78571427,0.87974685,0.625,0.6666667,0.5984849,0.45454547,0.87341774,0.4117647,0.75786656,0.6009759
CNN,Needle,2,0.75625,0.78571427,0.8,0.6052632,0.81395346,0.50625,0.8061224,0.34545454,0.4649123,0.5755814,0.7522362,0.53966415
CNN,Suture,2,0.793456,0.878327,0.7751479,0.7119741,0.73207545,0.75460124,0.8631179,0.46449703,0.44660193,0.53207546,0.7781961,0.6121787
CNN,Knot,3,0.79432625,0.719697,0.7922078,0.93670887,0.7132353,0.7234042,0.5984849,0.38311687,0.9177215,0.5514706,0.791235,0.6348396
CNN,Needle,3,0.75625,0.81122446,0.8,0.60087717,0.8255814,0.50625,0.7908163,0.7227273,0.4473684,0.5697674,0.7587866,0.6073859
CNN,Suture,3,0.80981594,0.85551333,0.66568047,0.6407767,0.71320754,0.77300614,0.8403042,0.5414201,0.43042073,0.48301888,0.7369988,0.613634
CNN,Knot,4,0.7234042,0.719697,0.7532467,0.89873415,0.7647059,0.73049647,0.37121212,0.6818182,0.87341774,0.40441176,0.77195764,0.61227125
CNN,Needle,4,0.75,0.8877551,0.8,0.60087717,0.85465115,0.49375,0.877551,0.6227273,0.49122807,0.5697674,0.7786567,0.61100477
CNN,Suture,4,0.82617587,0.8669202,0.7751479,0.69579285,0.54339623,0.801636,0.82889736,0.60946745,0.29449838,0.43773586,0.7414866,0.594447
CNN,Knot,5,0.82978725,0.7651515,0.74025977,0.93670887,0.5661765,0.78014183,0.67424244,0.44805196,0.9240506,0.5,0.76761675,0.6652974
CNN,Needle,5,0.85,0.81122446,0.8,0.622807,0.7906977,0.5,0.6989796,0.6363636,0.46052632,0.53488374,0.77494586,0.56615067
CNN,Suture,5,0.8588957,0.8136882,0.7751479,0.7119741,0.71320754,0.7627812,0.8174905,0.5473373,0.32686085,0.5962264,0.7745827,0.61013925
CNN+LSTM,Knot,1,0.8794326,0.719697,0.8181818,0.84810126,0.74264705,0.83687943,0.43939394,0.74025977,0.8607595,0.72794116,0.80161196,0.72104675
CNN+LSTM,Needle,1,0.78125,0.7346939,0.8,0.6535088,0.81395346,0.475,0.78571427,0.75454545,0.61403507,0.71511626,0.7566812,0.66888225
CNN+LSTM,Suture,1,0.85685074,0.88973385,0.8106509,0.7119741,0.75849056,0.82822084,0.8707224,0.7189349,0.4854369,0.34716982,0.80554,0.65009695
CNN+LSTM,Knot,2,0.858156,0.719697,0.75974023,0.8670886,0.72794116,0.7659575,0.719697,0.72077924,0.8544304,0.47058824,0.7865246,0.7062904
CNN+LSTM,Needle,2,0.75625,0.82653064,0.8,0.60087717,0.86627907,0.35625,0.7346939,0.6136364,0.54385966,0.5872093,0.7699874,0.56712985
CNN+LSTM,Suture,2,0.86912066,0.84790874,0.7751479,0.72168285,0.7471698,0.7566462,0.8365019,0.60650885,0.79611653,0.36981133,0.792206,0.673117
CNN+LSTM,Knot,3,0.858156,0.7878788,0.77272725,0.8924051,0.75,0.7092199,0.6515151,0.73376626,0.89873415,0.6764706,0.81223345,0.7339412
CNN+LSTM,Needle,3,0.8375,0.82653064,0.8,0.622807,0.8255814,0.7625,0.82653064,0.8,0.43421054,0.622093,0.7824838,0.6890668
CNN+LSTM,Suture,3,0.80981594,0.8326996,0.6627219,0.7119741,0.7773585,0.8241309,0.8669202,0.62721896,0.64724916,0.3245283,0.758914,0.65800947
CNN+LSTM,Knot,4,0.83687943,0.70454544,0.74025977,0.89873415,0.7132353,0.68085104,0.46212122,0.5974026,0.886076,0.3970588,0.7787308,0.60470194
CNN+LSTM,Needle,4,0.75625,0.7908163,0.8,0.68421054,0.8313953,0.3625,0.81122446,0.6454545,0.5482456,0.5755814,0.77253443,0.58860123
CNN+LSTM,Suture,4,0.8609407,0.8326996,0.7751479,0.7119741,0.7509434,0.85071576,0.8707224,0.52662724,0.4433657,0.46792454,0.78634113,0.6318711
CNN+LSTM,Knot,5,0.7659575,0.719697,0.74025977,0.8544304,0.72794116,0.6879433,0.5,0.6038961,0.7848101,0.625,0.7616571,0.6403299
CNN+LSTM,Needle,5,0.925,0.77040815,0.8,0.6535088,0.8197674,0.5125,0.7091837,0.80454546,0.6184211,0.68604654,0.7937369,0.66613936
CNN+LSTM,Suture,5,0.9018405,0.8098859,0.7751479,0.7119741,0.7509434,0.8793456,0.8136882,0.6449704,0.579288,0.44150943,0.78995836,0.6717603
LSTM,Knot,1,0.7092199,0.719697,0.74025977,0.835443,0.7941176,0.69503546,0.65909094,0.74025977,0.84810126,0.7867647,0.75974745,0.74585044
LSTM,Needle,1,0.59375,0.7346939,0.5318182,0.6096491,0.61627907,0.7375,0.26530612,0.15454546,0.5263158,0.53488374,0.61723804,0.4437102
LSTM,Suture,1,0.793456,0.69201523,0.7751479,0.80582523,0.7471698,0.793456,0.69201523,0.7751479,0.79935277,0.7471698,0.76272285,0.76142836
LSTM,Knot,2,0.7092199,0.719697,0.8246753,0.778481,0.72794116,0.7092199,0.719697,0.8181818,0.8037975,0.7941176,0.7520029,0.76900274
LSTM,Needle,2,0.24375,0.7346939,0.5681818,0.67105263,0.53488374,0.24375,0.29591838,0.6272727,0.6052632,0.53488374,0.55051243,0.4614176
