method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
ResNet,Knot,1,0.75524473,0.6962963,0.7468355,0.88271606,0.7173913,0.67832166,0.4888889,0.556962,0.8703704,0.7463768,0.7596968,0.668184
ResNet,Needle,1,0.8757764,0.7626263,0.7972973,0.62882096,0.7714286,0.6273292,0.75252527,0.6171171,0.5152838,0.6514286,0.7671899,0.6327368
ResNet,Suture,1,0.86734694,0.8679245,0.7719298,0.7202572,0.7602996,0.6163265,0.83396226,0.6052632,0.6045016,0.68164796,0.79755163,0.6683403
ResNet,Knot,2,0.86013985,0.6666667,0.778481,0.91358024,0.73188406,0.66433567,0.47407407,0.70253164,0.90123457,0.5797101,0.79015034,0.6643772
ResNet,Needle,2,0.7826087,0.82323235,0.7972973,0.70305675,0.8457143,0.7763975,0.8080808,0.5495495,0.5021834,0.6514286,0.79038185,0.657528
ResNet,Suture,2,0.86938775,0.8,0.7134503,0.7202572,0.7565543,0.8469388,0.68301886,0.5116959,0.3954984,0.3071161,0.7719299,0.54885364
ResNet,Knot,3,0.8111888,0.62222224,0.7468355,0.8888889,0.73188406,0.72727275,0.45185184,0.6329114,0.7839506,0.7463768,0.7602039,0.6684727
ResNet,Needle,3,0.7515528,0.7929293,0.7972973,0.5458515,0.82285714,0.3478261,0.7828283,0.6621622,0.41921398,0.58285713,0.7420976,0.55897754
ResNet,Suture,3,0.8469388,0.7018868,0.66374266,0.71382636,0.74531835,0.8387755,0.84528303,0.51754385,0.41800642,0.29588014,0.7343426,0.5830978
ResNet,Knot,4,0.8111888,0.7259259,0.778481,0.9074074,0.8768116,0.7832168,0.4148148,0.6772152,0.8765432,0.7826087,0.819963,0.70687973
ResNet,Needle,4,0.88819873,0.7323232,0.7972973,0.6462882,0.7828571,0.83229816,0.46969697,0.5225225,0.5152838,0.70285714,0.7693929,0.6085317
ResNet,Suture,4,0.90204084,0.80754715,0.74561405,0.71382636,0.74531835,0.7673469,0.6754717,0.4619883,0.44694534,0.29962546,0.78286934,0.5302755
ResNet,Knot,5,0.7832168,0.65185183,0.7721519,0.8765432,0.82608694,0.6573427,0.51111114,0.62025315,0.8271605,0.6666667,0.78197014,0.65650684
ResNet,Needle,5,0.89440995,0.83838385,0.7972973,0.70305675,0.74285716,0.55279505,0.6111111,0.536036,0.7510917,0.5371429,0.795201,0.5976353
ResNet,Suture,5,0.85714287,0.83773583,0.76900584,0.71382636,0.7490637,0.75714284,0.7735849,0.55263156,0.27974278,0.37078652,0.7853549,0.5467777
CNN,Knot,1,0.83916086,0.5555556,0.8037975,0.9074074,0.7246377,0.7832168,0.45925927,0.6898734,0.8765432,0.5507246,0.7661118,0.67192346
CNN,Needle,1,0.8385093,0.7323232,0.7972973,0.58515286,0.7942857,0.6335404,0.3888889,0.5900901,0.48034933,0.5485714,0.7495137,0.528288
CNN,Suture,1,0.8469388,0.8301887,0.7836257,0.71382636,0.65543073,0.63469386,0.79622644,0.6023392,0.34083602,0.45692885,0.76600206,0.56620485
CNN,Knot,2,0.8111888,0.6296296,0.8101266,0.91358024,0.6956522,0.74825174,0.4148148,0.70253164,0.9197531,0.6231884,0.7720355,0.6817079
CNN,Needle,2,0.7515528,0.7070707,0.7972973,0.6462882,0.83428574,0.5031056,0.6212121,0.6441441,0.52401745,0.57714283,0.74729896,0.5739244
CNN,Suture,2,0.8,0.86415094,0.7251462,0.75562704,0.74531835,0.6489796,0.86415094,0.5,0.49517685,0.37827715,0.7780485,0.5773169
CNN,Knot,3,0.8111888,0.7185185,0.79746836,0.8703704,0.68115944,0.73426574,0.45925927,0.51265824,0.83950615,0.4710145,0.7757411,0.6033408
CNN,Needle,3,0.9130435,0.7323232,0.7972973,0.6069869,0.81714284,0.50931674,0.59090906,0.6396396,0.44978166,0.56,0.77335876,0.54992944
CNN,Suture,3,0.9,0.84150946,0.64912283,0.71382636,0.58801496,0.82244897,0.8188679,0.5292398,0.3954984,0.37827715,0.7384947,0.5888665
