method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
ResNet,Knot,1,0.7536232,0.54615384,0.7894737,0.91719747,0.84962404,0.7536232,0.46923077,0.625,0.86624205,0.85714287,0.7712144,0.71424776
ResNet,Needle,1,0.7531645,0.8556701,0.79816514,0.66071427,0.80701756,0.3164557,0.8505155,0.75688076,0.5223214,0.5964912,0.77494633,0.6085329
ResNet,Suture,1,0.8946281,0.86538464,0.66369045,0.84918034,0.7816092,0.8904959,0.8576923,0.50595236,0.6131148,0.38697317,0.81089854,0.6508457
ResNet,Knot,2,0.82608694,0.5538462,0.7763158,0.89171976,0.6917293,0.68115944,0.36153847,0.7368421,0.91719747,0.56390977,0.7479396,0.6521295
ResNet,Needle,2,0.84177214,0.73195875,0.79816514,0.625,0.8888889,0.47468355,0.5927835,0.646789,0.58035713,0.61403507,0.777157,0.58172965
ResNet,Suture,2,0.88429755,0.7692308,0.77380955,0.7147541,0.7586207,0.90082645,0.6730769,0.51785713,0.2885246,0.45210728,0.78014255,0.5664785
ResNet,Knot,3,0.7826087,0.53846157,0.7697368,0.8980892,0.84210527,0.6666667,0.56153846,0.7368421,0.9044586,0.7819549,0.7662003,0.73029214
ResNet,Needle,3,0.8670886,0.96391755,0.79816514,0.76339287,0.8187134,0.84177214,0.7989691,0.6788991,0.5401786,0.6374269,0.84225553,0.6994492
ResNet,Suture,3,0.8822314,0.8076923,0.7797619,0.7147541,0.7624521,0.75619835,0.8,0.625,0.32459018,0.3448276,0.78937835,0.5701232
ResNet,Knot,4,0.7826087,0.75384617,0.80263156,0.87261146,0.7744361,0.64492756,0.43846154,0.65789473,0.84713376,0.60902256,0.7972268,0.63948804
ResNet,Needle,4,0.87974685,0.7886598,0.79816514,0.60714287,0.8888889,0.6772152,0.72680414,0.70183486,0.4107143,0.7426901,0.7925207,0.6518517
ResNet,Suture,4,0.8822314,0.7923077,0.77380955,0.7147541,0.7547893,0.82438016,0.7923077,0.59821427,0.30491802,0.3678161,0.7835784,0.5775272
ResNet,Knot,5,0.71014494,0.63076925,0.7434211,0.89171976,0.7593985,0.6086956,0.61538464,0.59210527,0.89171976,0.62406015,0.7470907,0.6663931
ResNet,Needle,5,0.7531645,0.8814433,0.79816514,0.54910713,0.83040935,0.46835443,0.7938144,0.63761467,0.3080357,0.5964912,0.7624579,0.5608621
ResNet,Suture,5,0.8677686,0.81153846,0.7797619,0.7147541,0.6666667,0.75619835,0.7192308,0.625,0.32459018,0.348659,0.76809794,0.55473566
CNN,Knot,1,0.7826087,0.53846157,0.79605263,0.88535035,0.7293233,0.73913044,0.47692308,0.7763158,0.85987264,0.2857143,0.7463593,0.62759125
CNN,Needle,1,0.84810126,0.73195875,0.79816514,0.6026786,0.8245614,0.47468355,0.7525773,0.6559633,0.50446427,0.6315789,0.761093,0.60385346
CNN,Suture,1,0.8471074,0.86153847,0.68154764,0.7147541,0.74712646,0.7582645,0.8346154,0.49107143,0.22950819,0.36398467,0.7704148,0.53548884
CNN,Knot,2,0.78985506,0.72307694,0.7434211,0.87261146,0.8120301,0.7536232,0.43076923,0.5131579,0.86624205,0.5488722,0.7881989,0.6225329
CNN,Needle,2,0.84177214,0.73195875,0.69266057,0.59821427,0.8187134,0.51898736,0.45360824,0.6605505,0.32589287,0.53216374,0.7366638,0.49824053
CNN,Suture,2,0.8719008,0.79615384,0.6666667,0.7147541,0.7547893,0.8698347,0.85384613,0.5714286,0.34754097,0.47509578,0.76085293,0.6235492
CNN,Knot,3,0.82608694,0.61538464,0.7434211,0.91719747,0.7293233,0.8043478,0.47692308,0.4276316,0.87261146,0.42857143,0.7662827,0.6020171
CNN,Needle,3,0.79113925,0.73195875,0.79816514,0.60714287,0.84210527,0.48734176,0.80927837,0.5275229,0.4732143,0.5614035,0.75410223,0.5717522
