method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
LSTM,Suture,2,0.7919192,0.6902985,0.7732558,0.7111111,0.74538743,0.7919192,0.6902985,0.56395346,0.7111111,0.74538743,0.7423944,0.7005339
LSTM,Knot,3,0.72602737,0.72262776,0.825,0.77300614,0.7234042,0.760274,0.71532845,0.8125,0.77300614,0.6524823,0.7540131,0.74271816
LSTM,Needle,3,0.75460124,0.735,0.72321427,0.66523606,0.53977275,0.24539877,0.28,0.4017857,0.6051502,0.53409094,0.68356484,0.41328514
LSTM,Suture,3,0.7919192,0.7910448,0.7732558,0.7111111,0.74538743,0.32929292,0.6902985,0.70348835,0.73015875,0.74538743,0.7625437,0.6397252
LSTM,Knot,4,0.8287671,0.729927,0.7875,0.78527606,0.7234042,0.8150685,0.6423358,0.7375,0.78527606,0.73049647,0.7709749,0.74213535
LSTM,Needle,4,0.24539877,0.735,0.7276786,0.6523605,0.6193182,0.24539877,0.51,0.7098214,0.6051502,0.53409094,0.5959512,0.52089226
LSTM,Suture,4,0.7919192,0.6902985,0.7732558,0.7111111,0.74538743,0.7919192,0.6902985,0.65988374,0.7111111,0.74538743,0.7423944,0.71972
LSTM,Knot,5,0.6917808,0.71532845,0.7375,0.9570552,0.75886524,0.6917808,0.71532845,0.7375,0.9570552,0.8014184,0.77210593,0.7806166
LSTM,Needle,5,0.5276074,0.735,0.70089287,0.6351931,0.53409094,0.5153374,0.265,0.53125,0.6051502,0.51704544,0.6265569,0.48675662
LSTM,Suture,5,0.7919192,0.6902985,0.7732558,0.7111111,0.74538743,0.7919192,0.6902985,0.76744187,0.7111111,0.74538743,0.7423944,0.7412316
convAuto,Knot,1,0.0,0.0,0.0,0.0,0.0,0.6712329,0.57664233,0.725,0.9325153,0.82978725,0.0,0.74703556
convAuto,Needle,1,0.0,0.0,0.0,0.0,0.0,0.6257669,0.66,0.74553573,0.64377683,0.57954544,0.0,0.650925
convAuto,Suture,1,0.0,0.0,0.0,0.0,0.0,0.8060606,0.5298507,0.7761628,0.74285716,0.59409595,0.0,0.68980545
convAuto,Knot,2,0.0,0.0,0.0,0.0,0.0,0.65068495,0.649635,0.7125,0.80981594,0.6524823,0.0,0.69502366
convAuto,Needle,2,0.0,0.0,0.0,0.0,0.0,0.5644172,0.81,0.71428573,0.4549356,0.6931818,0.0,0.6473641
convAuto,Suture,2,0.0,0.0,0.0,0.0,0.0,0.8363636,0.8507463,0.88081396,0.61904764,0.6678967,0.0,0.7709736
convAuto,Knot,3,0.0,0.0,0.0,0.0,0.0,0.6712329,0.63503647,0.75,0.87116563,0.71631205,0.0,0.7287494
convAuto,Needle,3,0.0,0.0,0.0,0.0,0.0,0.49079755,0.75,0.3482143,0.6351931,0.6306818,0.0,0.57097733
convAuto,Suture,3,0.0,0.0,0.0,0.0,0.0,0.45656565,0.5671642,0.65988374,0.7746032,0.704797,0.0,0.63260275
convAuto,Knot,4,0.0,0.0,0.0,0.0,0.0,0.5684931,0.69343066,0.5625,0.80981594,0.78723407,0.0,0.68429476
convAuto,Needle,4,0.0,0.0,0.0,0.0,0.0,0.70552146,0.75,0.8526786,0.53648067,0.52840906,0.0,0.67461795
convAuto,Suture,4,0.0,0.0,0.0,0.0,0.0,0.82828283,0.76119405,0.6656977,0.44761905,0.5092251,0.0,0.6424037
convAuto,Knot,5,0.0,0.0,0.0,0.0,0.0,0.739726,0.57664233,0.60625,0.8957055,0.5744681,0.0,0.6785584
convAuto,Needle,5,0.0,0.0,0.0,0.0,0.0,0.73006135,0.61,0.58035713,0.4892704,0.33522728,0.0,0.5489832
convAuto,Suture,5,0.0,0.0,0.0,0.0,0.0,0.72727275,0.55597013,0.70348835,0.52698416,0.4797048,0.0,0.598684
DFT,Knot,3,0.0,0.0,0.0,0.0,0.0,0.5,0.45255473,0.68125,0.6196319,0.6666667,0.0,0.5840207
DFT,Needle,3,0.0,0.0,0.0,0.0,0.0,0.36809817,0.555,0.3794643,0.6137339,0.5,0.0,0.48325926
DFT,Suture,3,0.0,0.0,0.0,0.0,0.0,0.5070707,0.5634328,0.64244187,0.5460318,0.22878228,0.0,0.4975519
DCT,Knot,3,0.0,0.0,0.0,0.0,0.0,0.6164383,0.46715328,0.68125,0.607362,0.6666667,0.0,0.6077741
DCT,Needle,3,0.0,0.0,0.0,0.0,0.0,0.5521472,0.495,0.41964287,0.65665233,0.5738636,0.0,0.5394612
DCT,Suture,3,0.0,0.0,0.0,0.0,0.0,0.6040404,0.6529851,0.63081396,0.6603175,0.36531365,0.0,0.5826941
DCT,Knot,4,0.0,0.0,0.0,0.0,0.0,0.6164383,0.46715328,0.68125,0.607362,0.6666667,0.0,0.6077741
DCT,Needle,4,0.0,0.0,0.0,0.0,0.0,0.5521472,0.495,0.41964287,0.65665233,0.5738636,0.0,0.5394612
DCT,Suture,4,0.0,0.0,0.0,0.0,0.0,0.6040404,0.6529851,0.63081396,0.6603175,0.36531365,0.0,0.5826941
