method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
ResNet,Knot,1,0.86619717,0.70411986,0.7916667,0.909375,0.72627735,0.80985916,0.45692885,0.5480769,0.85,0.57664233,0.7995272,0.6483014
ResNet,Needle,1,0.90654206,0.7538071,0.7986425,0.53829324,0.89337176,0.53582555,0.5482234,0.6561086,0.53829324,0.57348704,0.7781313,0.57038754
ResNet,Suture,1,0.85495406,0.84659094,0.6632353,0.6887097,0.7462406,0.74157304,0.8484849,0.5117647,0.4887097,0.43984962,0.7599461,0.60607636
ResNet,Knot,2,0.78521127,0.63670415,0.74358976,0.903125,0.8211679,0.64084506,0.49812734,0.45833334,0.90625,0.6240876,0.7779596,0.6255287
ResNet,Needle,2,0.80062306,0.7766498,0.7986425,0.60175055,0.8386167,0.85358256,0.5888325,0.6628959,0.56892776,0.5821326,0.7632565,0.65127426
ResNet,Suture,2,0.8631256,0.8276515,0.7794118,0.7129032,0.65225565,0.9111338,0.7310606,0.76617646,0.44193548,0.4718045,0.7670696,0.66442215
ResNet,Knot,3,0.8309859,0.56554306,0.7083333,0.925,0.70437956,0.82746476,0.5355805,0.5833333,0.8875,0.47080293,0.7468484,0.6609363
ResNet,Needle,3,0.7538941,0.7791878,0.7986425,0.60175055,0.7521614,0.29595014,0.680203,0.6447964,0.41794312,0.5850144,0.73712724,0.5247814
ResNet,Suture,3,0.86414707,0.842803,0.6632353,0.7483871,0.7462406,0.7650664,0.75,0.58235294,0.63064516,0.37406015,0.7729626,0.6204249
ResNet,Knot,4,0.8169014,0.5355805,0.8301282,0.925,0.7810219,0.6690141,0.4906367,0.8269231,0.928125,0.72627735,0.7777264,0.72819525
ResNet,Needle,4,0.9127726,0.7715736,0.7986425,0.60175055,0.8299712,0.3894081,0.7538071,0.6312217,0.4857768,0.5648415,0.7829421,0.565011
ResNet,Suture,4,0.8426966,0.7916667,0.7735294,0.7129032,0.65789473,0.7303371,0.8125,0.62647057,0.60806453,0.37406015,0.75573814,0.63028646
ResNet,Knot,5,0.7922535,0.54307115,0.74038464,0.915625,0.8759124,0.7640845,0.46067417,0.47115386,0.9,0.7007299,0.77344936,0.65932846
