method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
ResNet,Knot,1,0.87455195,0.5610687,0.76797384,0.9238095,0.6802974,0.8172043,0.38931298,0.5522876,0.9111111,0.67286247,0.7615403,0.6685557
ResNet,Needle,1,0.836478,0.7923077,0.79908675,0.6017699,0.8658892,0.8333333,0.67948717,0.456621,0.44247788,0.5685131,0.7791063,0.5960865
ResNet,Suture,1,0.8078109,0.82600385,0.7462908,0.71335506,0.7471483,0.67934227,0.77820265,0.6973294,0.2801303,0.44486693,0.7681218,0.5759743
ResNet,Knot,2,0.7670251,0.72137403,0.74183005,0.9142857,0.6988848,0.6989247,0.46183205,0.5588235,0.8920635,0.6394052,0.7686799,0.6502098
ResNet,Needle,2,0.8144654,0.7410256,0.79908675,0.6017699,0.84548104,0.48427674,0.6717949,0.5913242,0.3738938,0.6180758,0.7603657,0.5478731
ResNet,Suture,2,0.83144915,0.8565965,0.72848666,0.71335506,0.7585551,0.80678314,0.6271511,0.6854599,0.44136807,0.46577945,0.7776885,0.60530835
ResNet,Knot,3,0.9498208,0.66412216,0.7941176,0.9174603,0.7286245,0.7096774,0.38549617,0.7222222,0.9142857,0.4163569,0.8108291,0.6296077
ResNet,Needle,3,0.8962264,0.8333333,0.6643836,0.6216814,0.7463557,0.9119497,0.52307695,0.6278539,0.5176991,0.5626822,0.7523961,0.6286524
ResNet,Suture,3,0.8036999,0.84894836,0.7744807,0.78175896,0.77376425,0.9003083,0.7590822,0.4792285,0.58143324,0.5171103,0.7965304,0.6474325
ResNet,Knot,4,0.827957,0.5648855,0.7647059,0.9142857,0.795539,0.72759855,0.5496183,0.5653595,0.9111111,0.78438663,0.77347463,0.70761484
ResNet,Needle,4,0.9150943,0.8282051,0.79908675,0.61946905,0.7084548,0.8050314,0.73333335,0.8150685,0.6858407,0.5714286,0.77406204,0.7221405
ResNet,Suture,4,0.8828366,0.8699809,0.6706231,0.71335506,0.5855513,0.8201439,0.8183556,0.5667656,0.31433225,0.5684411,0.7444694,0.6176077
ResNet,Knot,5,0.7777778,0.72137403,0.78431374,0.93333334,0.71747214,0.72401434,0.48091602,0.6993464,0.9142857,0.46096656,0.7868542,0.6559058
ResNet,Needle,5,0.6855346,0.8871795,0.80136985,0.6526549,0.6938776,0.5157233,0.7307692,0.48401827,0.6504425,0.5772595,0.7441233,0.59164256
ResNet,Suture,5,0.8622816,0.7743786,0.6646884,0.5635179,0.6406844,0.7204522,0.8164436,0.53115726,0.18403909,0.3688213,0.7011102,0.5241827
CNN,Knot,1,0.83870965,0.64122134,0.7647059,0.9174603,0.65055764,0.7383512,0.4274809,0.6797386,0.9142857,0.51301116,0.762531,0.6545735
CNN,Needle,1,0.8993711,0.82051283,0.79908675,0.6017699,0.77842563,0.5062893,0.6923077,0.6849315,0.39159292,0.5451895,0.77983326,0.5640622
CNN,Suture,1,0.8890031,0.749522,0.6646884,0.71335506,0.78707224,0.7430627,0.7151052,0.5801187,0.3713355,0.3688213,0.7607282,0.5556887
CNN,Knot,2,0.87096775,0.5305343,0.8039216,0.9142857,0.6951673,0.7419355,0.39694658,0.74183005,0.8825397,0.5092937,0.76297534,0.65450907
CNN,Needle,2,0.7735849,0.74358976,0.66210043,0.6017699,0.8425656,0.4937107,0.74358976,0.34703195,0.48672566,0.5335277,0.72472215,0.5209172
CNN,Suture,2,0.8437821,0.88145316,0.7818991,0.71335506,0.81558937,0.6865365,0.8680688,0.5652819,0.3843648,0.30228138,0.80721575,0.56130666
CNN,Knot,3,0.7706093,0.5839695,0.8333333,0.8857143,0.7286245,0.72401434,0.46183205,0.77124184,0.8920635,0.5762082,0.7604502,0.685072
CNN,Needle,3,0.8113208,0.8666667,0.79908675,0.6482301,0.81341106,0.5,0.8102564,0.47945204,0.53318584,0.5539359,0.7877431,0.575366
CNN,Suture,3,0.8725591,0.8565965,0.7744807,0.71335506,0.7528517,0.7852004,0.8527725,0.4480712,0.47557002,0.4163498,0.7939686,0.5955928
CNN,Knot,4,0.7455197,0.72137403,0.7777778,0.93333334,0.7100372,0.7670251,0.42366412,0.72875816,0.93333334,0.5613383,0.7776084,0.6828238
CNN,Needle,4,0.754717,0.7794872,0.79908675,0.5995575,0.8833819,0.4779874,0.78717947,0.6369863,0.5199115,0.56559765,0.76324606,0.59753245
CNN,Suture,4,0.8448099,0.8068834,0.7744807,0.71335506,0.7452471,0.79239464,0.709369,0.5727003,0.5830619,0.4524715,0.77695525,0.62199944
CNN,Knot,5,0.87455195,0.5496183,0.79738563,0.9174603,0.57992566,0.734767,0.47328246,0.53594774,0.9238095,0.5092937,0.74378836,0.6354201
CNN,Needle,5,0.7578616,0.82564104,0.79908675,0.6017699,0.8250729,0.4591195,0.525641,0.6643836,0.4358407,0.5568513,0.7618864,0.5283672
CNN,Suture,5,0.85714287,0.8718929,0.7744807,0.71335506,0.7471483,0.74820143,0.8527725,0.5148368,0.39087948,0.38403043,0.79280394,0.57814413
CNN+LSTM,Knot,1,0.8530466,0.72137403,0.74183005,0.9015873,0.7286245,0.72401434,0.72137403,0.5392157,0.9206349,0.6282528,0.7892925,0.70669836
CNN+LSTM,Needle,1,0.7830189,0.8153846,0.79908675,0.6017699,0.79591835,0.7987421,0.7589744,0.47716895,0.6261062,0.79008746,0.7590357,0.6902158
CNN+LSTM,Suture,1,0.86125386,0.84321225,0.7744807,0.71335506,0.7756654,0.8489209,0.8451243,0.7744807,0.64820844,0.39543727,0.79359347,0.7024343
CNN+LSTM,Knot,2,0.8136201,0.72137403,0.78104573,0.8666667,0.7286245,0.7562724,0.53816795,0.63071895,0.8888889,0.5464684,0.7822662,0.67210335
CNN+LSTM,Needle,2,0.8490566,0.78717947,0.79908675,0.7123894,0.81341106,0.5597484,0.7846154,0.79680365,0.71902657,0.79591835,0.79222465,0.73122245
CNN+LSTM,Suture,2,0.89003086,0.7686424,0.7744807,0.71335506,0.7471483,0.80267215,0.7629063,0.6142433,0.37459284,0.30038023,0.77873147,0.570959
CNN+LSTM,Knot,3,0.79569894,0.72137403,0.748366,0.9238095,0.7286245,0.64874554,0.49618322,0.6928105,0.8984127,0.51301116,0.7835746,0.6498326
CNN+LSTM,Needle,3,0.8867925,0.8025641,0.79908675,0.66150445,0.75510204,0.6792453,0.7641026,0.5913242,0.47345132,0.6268222,0.78101,0.6269891
CNN+LSTM,Suture,3,0.8725591,0.86424476,0.7744807,0.7312704,0.7490494,0.7749229,0.85468453,0.6632047,0.7345277,0.43726236,0.7983209,0.69292045
CNN+LSTM,Knot,4,0.91039425,0.72137403,0.7614379,0.8730159,0.7286245,0.83154124,0.4274809,0.8202614,0.8730159,0.6282528,0.7989693,0.71611047
CNN+LSTM,Needle,4,0.754717,0.9076923,0.79908675,0.6814159,0.8104956,0.5408805,0.8230769,0.7191781,0.5575221,0.5947522,0.79068154,0.647082
CNN+LSTM,Suture,4,0.8633093,0.86424476,0.7744807,0.7149837,0.61977184,0.7605344,0.8585086,0.54451036,0.49837133,0.3041825,0.76735806,0.5932214
CNN+LSTM,Knot,5,0.8028674,0.72137403,0.74183005,0.9015873,0.7286245,0.7455197,0.39694658,0.74183005,0.8,0.5464684,0.77925664,0.646153
CNN+LSTM,Needle,5,0.8459119,0.84615386,0.79908675,0.59513277,0.8075802,0.5220126,0.8102564,0.57990867,0.57300884,0.80466473,0.77877307,0.65797025
CNN+LSTM,Suture,5,0.9064748,0.85468453,0.7744807,0.78664494,0.75665396,0.7862282,0.8240918,0.55192876,0.38599348,0.29847908,0.8157878,0.5693443
LSTM,Knot,1,0.6953405,0.78244275,0.74183005,0.7777778,0.8364312,0.6953405,0.78244275,0.74183005,0.75238097,0.85130113,0.76676446,0.76465905
