method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
LSTM,Needle,1,0.5314465,0.66410255,0.6369863,0.6061947,0.59766763,0.5345912,0.26666668,0.6210046,0.6061947,0.5335277,0.60727954,0.512397
LSTM,Suture,1,0.8150051,0.6921606,0.9272997,0.71335506,0.7471483,0.8150051,0.6921606,0.9272997,0.71335506,0.7471483,0.7789938,0.7789938
LSTM,Knot,2,0.6953405,0.79389316,0.74183005,0.8730159,0.7286245,0.72401434,0.78625953,0.74183005,0.8793651,0.7286245,0.7665408,0.77201873
LSTM,Needle,2,0.24528302,0.73333335,0.58219177,0.6061947,0.5335277,0.4056604,0.26666668,0.53196347,0.6061947,0.5335277,0.5401061,0.46880257
LSTM,Suture,2,0.79445016,0.6921606,0.7744807,0.71335506,0.7471483,0.79445016,0.6921606,0.7744807,0.71335506,0.7471483,0.74431896,0.74431896
LSTM,Knot,3,0.6953405,0.72137403,0.74183005,0.7777778,0.7286245,0.6953405,0.72137403,0.74183005,0.7777778,0.62081784,0.7329894,0.71142805
LSTM,Needle,3,0.24528302,0.8384615,0.53196347,0.6792035,0.6297376,0.24528302,0.84615386,0.46803653,0.92256635,0.5335277,0.5849298,0.6031135
LSTM,Suture,3,0.79445016,0.6921606,0.7744807,0.71335506,0.7471483,0.79856116,0.6921606,0.66172105,0.71335506,0.7471483,0.74431896,0.72258925
LSTM,Knot,4,0.6953405,0.72137403,0.8137255,0.7777778,0.7286245,0.6953405,0.6870229,0.8137255,0.7777778,0.6988848,0.74736845,0.7345503
LSTM,Needle,4,0.24528302,0.73333335,0.53196347,0.6393805,0.6355685,0.1918239,0.73333335,0.53196347,0.6061947,0.5335277,0.5571058,0.5193686
LSTM,Suture,4,0.8047277,0.6921606,0.7596439,0.71335506,0.7471483,0.8036999,0.6921606,0.65578634,0.71335506,0.7471483,0.74340713,0.72243005
LSTM,Knot,5,0.7419355,0.72137403,0.74183005,0.7968254,0.75092936,0.781362,0.65648854,0.74183005,0.7777778,0.73977697,0.7505789,0.73944706
LSTM,Needle,5,0.24528302,0.73333335,0.5502283,0.63716817,0.6034985,0.24528302,0.42307693,0.760274,0.6061947,0.5714286,0.55390227,0.52125144
LSTM,Suture,5,0.79445016,0.6921606,0.7744807,0.71335506,0.7471483,0.79445016,0.6921606,0.7744807,0.71335506,0.7471483,0.74431896,0.74431896
convAuto,Knot,1,0.0,0.0,0.0,0.0,0.0,0.60573477,0.7900763,0.5392157,0.6634921,0.48698884,0.0,0.61710155
convAuto,Needle,1,0.0,0.0,0.0,0.0,0.0,0.7610063,0.7897436,0.4543379,0.44911504,0.5131195,0.0,0.5934645
convAuto,Suture,1,0.0,0.0,0.0,0.0,0.0,0.85405964,0.6596558,0.7047478,0.77361566,0.6463878,0.0,0.7276933
convAuto,Knot,2,0.0,0.0,0.0,0.0,0.0,0.60573477,0.740458,0.7058824,0.8857143,0.5018587,0.0,0.68792963
convAuto,Needle,2,0.0,0.0,0.0,0.0,0.0,0.5377358,0.7076923,0.51598173,0.5,0.5860058,0.0,0.56948316
convAuto,Suture,2,0.0,0.0,0.0,0.0,0.0,0.6567318,0.625239,0.6305638,0.7947883,0.62737644,0.0,0.66693985
convAuto,Knot,3,0.0,0.0,0.0,0.0,0.0,0.7383512,0.84732825,0.7352941,0.85714287,0.81040895,0.0,0.79770505
convAuto,Needle,3,0.0,0.0,0.0,0.0,0.0,0.6289308,0.7923077,0.5410959,0.6261062,0.6909621,0.0,0.6558805
convAuto,Suture,3,0.0,0.0,0.0,0.0,0.0,0.71017474,0.70554495,0.6587537,0.6889251,0.73574144,0.0,0.69982797
convAuto,Knot,4,0.0,0.0,0.0,0.0,0.0,0.6236559,0.7099237,0.71895427,0.84126985,0.85130113,0.0,0.74902093
convAuto,Needle,4,0.0,0.0,0.0,0.0,0.0,0.38679245,0.46153846,0.7625571,0.57522124,0.67638487,0.0,0.5724988
convAuto,Suture,4,0.0,0.0,0.0,0.0,0.0,0.68139774,0.5277247,0.8264095,0.4136808,0.57984793,0.0,0.60581213
convAuto,Knot,5,0.0,0.0,0.0,0.0,0.0,0.56989247,0.54198474,0.65686274,0.7777778,0.54275095,0.0,0.61785376
convAuto,Needle,5,0.0,0.0,0.0,0.0,0.0,0.44968554,0.9102564,0.71004564,0.7522124,0.6909621,0.0,0.7026324
convAuto,Suture,5,0.0,0.0,0.0,0.0,0.0,0.7245632,0.61376673,0.7655786,0.48371336,0.47338402,0.0,0.6122012
DFT,Knot,3,0.0,0.0,0.0,0.0,0.0,0.781362,0.7099237,0.7091503,0.62539685,0.6245353,0.0,0.6900736
DFT,Needle,3,0.0,0.0,0.0,0.0,0.0,0.5283019,0.525641,0.43835616,0.61504424,0.5510204,0.0,0.5316728
DFT,Suture,3,0.0,0.0,0.0,0.0,0.0,0.5097636,0.6500956,0.6780415,0.6368078,0.3231939,0.0,0.5595805
DCT,Knot,3,0.0,0.0,0.0,0.0,0.0,0.8100358,0.7442748,0.6633987,0.7619048,0.7769517,0.0,0.75131315
DCT,Needle,3,0.0,0.0,0.0,0.0,0.0,0.5471698,0.55641025,0.5730594,0.37168142,0.55976677,0.0,0.52161753
DCT,Suture,3,0.0,0.0,0.0,0.0,0.0,0.58581704,0.5869981,0.5652819,0.73615634,0.2851711,0.0,0.5518849
DCT,Knot,4,0.0,0.0,0.0,0.0,0.0,0.8100358,0.7442748,0.6633987,0.7619048,0.7769517,0.0,0.75131315
DCT,Needle,4,0.0,0.0,0.0,0.0,0.0,0.5471698,0.55641025,0.5730594,0.37168142,0.55976677,0.0,0.52161753
DCT,Suture,4,0.0,0.0,0.0,0.0,0.0,0.58581704,0.5869981,0.5652819,0.73615634,0.2851711,0.0,0.5518849
